judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Abstract
"Pengembangan Sumber Daya Manusia Dalam Rangka Meningkatkan Produktivitas Karyawan Pada
PT. Pos Indonesia (persero) Kantor Cabang Bangkalan
",Penulis : Ismie Novitasari Soekarno,"Dosen Pembimbing I : Dra. Hj. S. Anugrahini Irawati, MM","Dosen Pembimbing II :Faidal. S.E, MM","ABSTRAK
Penelitian ini bertujuan untuk meneliti apakah pendidikan dan pelatihan berpengaruh secara parsial dan secara simultan dalam rangka meningkatkan produktivitas karyawan, serta meniliti apakah variabel pendidikan berpengaruh dominan dalam meningkatkan produktivitas karyawan. untuk membuktikan hipotesis penelitian, alat analisis yang digunakan adalah regresi linier berganda dengan bantuan SPSS.
Hasil pengujian menunjukkan nilai Fhitung sebesar 10,542 dengan nilai signifikan Fhitung sebesar 0.000 (p<0.05) yang berarti ada pengaruh signifikan variabel pendidikan dan pelatihan secara bersama-sama dalam meningkatkan produktivitas karyawan pada PT. Pos Indonesia (persero) kantor Cabang Bangkalan. Koefisien determinasi berganda (R) atau R square sebesar 0,310 berarti secara bersama-sama 3,10% perubahan variabel produktivitas karyawan pada PT. Pos Indonesia (persero) Cabang Bangkalan disebabkan oleh variabel pendidikan dan pelatihan. Sedangkan sisanya 6,90% disebabkan oleh variabel lain yang tidak masuk dalam model ini. Dari hasil penelitian ini variabel pendidikan terbukti kebenarannya yang berpengaruh dominan dengan nilai beta sebesar 0,433.
","ABSTRACT
This study aimed to examine whether the effect of education and training partially and simultaneously in order to increase the productivity of employees, also to investigate whether the education variable dominant influences dominantly in increasing employee productivity. to prove the hypothesis of the study, an analysis tool used is multiple linear regression with SPSS. 
The test results demonstrate the value of Fcount 10.542 significantly value for 0000 (p <0.05), which means there is a significant effect of education and training variables together in improving the productivity of employees at PT. Pos Indonesia (Persero) Bangkalan branch office. The coefficient of multiple determination (R) or R square of 0.310 means collectively 3.10% movement in the variable productivity of employees at PT. Pos Indonesia (Persero) Branch Bangkalan is caused by the variable of education and training. While the remaining 6.90% are caused by other variables not included in the model. From the results of this research of course education variables can influence dominantly with beta value of 0.433.

Keywords: education, training, productivity.
"
,,,,,
ANALISIS BIAYA PENGADAAN AKTIVA TETAP DENGAN MENGGUNAKAN ALTERNATIF LEASING DAN HUTANG JANGKA PANJANG PADA PT. KERETA API INDONESIA (PERSERO),Penulis : SANDY ETIKA SUSANTO,"Dosen Pembimbing I : Hj. Evaliati Amaniyah, SE., M.S.M","Dosen Pembimbing II :Purnamawati, SE., M.Si","PT. Kereta Api Indonesia (KAI) merupakan salah satu Badan Usaha Milik Negara yang bertugas untuk menyelenggarakan jasa transportasi. Dalam kegiatan operasionalnya, PT. KAI berusaha untuk melakukan efisiensi agar mendapatkan keuntungan sehingga member tambahan pendapatan pada kas Negara. Untuk menunjang kegiatan operasional peruasahaan, PT. Kereta Api membutuhkan aktiva tetap yang memiliki nilai cukup besar seperti Kereta, Gerbong, Listrik, dll. Dalam melakukan pembiayaan aktiva tetap, perusahaan harus mempertimbangkan pengaruh pembiayaan aktiva tetap tersebut terhadap kemampuan perusahaan yang cukup besar. Tentu disertai dengan harapan terhadap hasil (return) yang seimbang dengan pengeluaran yang telah dilakukan. Untuk memenuhi kebutuhan pembiayaan aktiva tetap, perusahaan dapat menggunakan alternatif sumber dana antara lain, hutang jangka panjang dan leasing.
	Metode penelitian yang dilakukan dalam penelitian ini adalah metode deskriptif. Data yang digunakan adalah laporan keuangan perusahaan PT. Kereta Api Indonesia (Persero) tahun 2012. Data yang diperoleh kemudian diolah dengan membandingkan efisiensi antara leasing dan hutang jangka panjang dengan metode present value.
	Penentuan kebijakan alternatif pendanaan yang akan dipilih adalah dengan melihat total present value terkecil antara leasing dan hutang jangka panjang. Berdasarkan hasil analisis dari penelitian yang dilakukan pada PT. Kereta Api Indonesia (persero) diketahui bahwa alternatif pendanaan hutang jangka panjang lebih menguntungkan dari pada leasing. Hal ini dikarenakan pada alternatif pendanaan hutang jangka panjang memiliki present value yang lebih kecil yaitu 366.441.097.703 dibandingkan dengan present value alternatif leasing sebesar 452.327.248.432.
Kata kunci: leasing, hutang jangka panjang, aktiva tetap.
","PT. Kereta Api Indonesia (KAI) is one of the State-owned Enterprises that in charge of organizing transportation services. In doing daily operational, PT. KAI tries hard to improve efficiency in order to provide additional benefit to state income. To support the company’s daily operations, PT. KAI requires fixed assets that have a large value such as trains, cars, electricity, others. In financing that fixed assets, the company should consider the effect of financing the fixed asset to company’s paying ability. In expectation that the result (return) is balanced by the expenditures, important steps are taken. To meet the financing needs of fixed assets, companies can use alternative sources of funds; long-term debt and leasing.
The research method is descriptive method. The data used is the financial statements of PT. Kereta Api Indonesia in 2012 then the data obtained is then processed by comparing the efficiency between leasing and long-term debt while the present value is applied as the method.
To determine the alternative funding policies that will be chosen is looking at the smallest total present value between leasing and long-term debt. Based on the research analysis conducted at PT. Kereta Api Indonesia, it notes that alternative long-term debt financing is more advantageous than leasing. It is because the alternatif of long-term debt financing have a smaller present value of 366 441 097 703 when it is compared with to the alternative of leasing at 452 327 248 432.

Keywords: Leasing, Long-term debt, Fixed assets.
"
,,,,,
,,,,,
PENGARUH UNSUR - UNSUR KOMUNIKASI TERHADAP PRODUKTIVITAS KERJA PEGAWAI NEGERI SIPIL DI DINAS PENDIDIKAN KABUPATEN BANGKALAN,Penulis : Miftahurrahman,"Dosen Pembimbing I : Dr. Muhammad Alkirom Wildan, S.E.,M.Si","Dosen Pembimbing II :Helmi Buyung Aulia S, ST.,S.E.,MM.MT","ABSTRAK

	Penelitian ini bertujuan untuk mengetahui pengaruh unsur - unsur komunikasi yang terdiri dari pengirim pesan (komunikator), pesan, media komunikasi, penerima pesan (komunikan) dan umpan balik terhadap produktifitas kerja pegawai negeri sipil di Dinas Pendidikian Kabupaten Bangkalan. Baik secara simultan maupun secara parsial.
Populasi dari penelitian ini adalah pegawai negeri sipil di dinas pendidikan kabupaten bangkalan yang terdiri dari 380 pegawai dan sampel sebanyak 61 pegawai yang diambil dengan cara proporsional random sampling. Adapun metode pengumpulan data dengan cara membagikan kuesioner dan riset perpustakaan data. Sedangkan teknik pengolahan data yang digunakan adalah pengolahan data dengan bantuan perangkat lunak SPSS versi 16 (uji validitas dan uji reabilitas) dengan menggunakan skala likert.
	Hasil dari penelitian ini menunjukkan bahwa faktor – faktor komunikasi secara simultan mempunyai pengaruh yang signifikan terhadap produktifitas kerja. Hal itu terlihat dari nilai Fhitung sebesar 49,482 > Ftabel sebesar 2,38 dengan tingkat signifikansi 0,000 < 0,05. Koefisien Determinasi Berganda Atau R² sebesar 0,818 atau 81,8%. Hal ini menunjukkan bahwa variabel komunikator (X1), pesan (X2), media komunikasi (X3), komunikan (X4)  dan umpan balik (X5) mampu menerangkan variabel produktifitas kerja (Y) sebesar 81,8%. sedangkan sisanya sebesar 18,2% dipengaruhi atau dijelaskan oleh variabel lain yang tidak dimasukkan dalam model penelitian ini. Secara parsial, varibel yang mempunyai pengaruh langsung, positif dan signifikan yaitu variabel kominkator (X1) dan komunikan (X4). Sedangkan untuk pesan (X2), media komunikasi (X3) dan umpan balik (X5) berpengaruh positif akan tetapi tidak sigifikan. Dari hasil analisis ini menunjukkan bahwa variabel komunikator (X1) mempunyai peranan yang sangat penting dan dominan dalam upaya meningkatkan produktifitas kerja.

Kata Kunci: Pengirim Pesan (Komunikator), Pesan, Media Komunikasi, Penerima Pesan (Komunikan), Umpan Balik, Produktivitas Kerja
","ABSTRACT	
The objectives of this study are to find out the influence of communication elements, which consist of sender (communicator), message, communication media, and receiver (communicant), and the feedback of communication elements, either partially or simultaneously, to work productivity of civil servants in Department of Education in Bangkalan. 
The population of this study is 380 civil servants in Department of Education in Bangkalan and the samples are taken by using proporsional random sampling as many as 61 employees. The data is collected by using questionnaire and library research. The data is analyzed by SPSS version 16 (validity and reliability test) and by applying Likert scale.
The results show that communication elements have a significant effect on work productivity simultaneously. It is indicated by the value of Fcale as 49,482 > Ftable of 2,38 with significant level of 0,000 < 0,05. Coefficient of Multiple Determination or R² is 0,818 or 81,8%. It means that the variables of communicator (X1), message (X2), communication media (X3), communicant (X4)  and feed back (X5) are able to determine work productivity (Y) for 81,8%. The remaining of 18,2% is influenced or elaborated by other variable that is not involved in this study. In partial, the variables that have a direct influence, both significant and positive, are communicator (X1) and communicant (X4). While the variables of message (X2), communication media (X3) and feed back (X5) have a positive influence but not too significant. From the analysis it is shown that communicator (X1) has a dominant and important rule in increasing work productivity. 

Keywords: Sender (Communicator), Message, Communication Media, Receiver (Communicant), The Feedback, Work Productivity."
PENGARUH ATRIBUT PRODUK TERHADAP KEPUTUSAN PEMBELIAN PRODUK PENYEDAP RASA MASAKO (Studi pada Ibu-ibu Kecamatan Robatal Sampang),Penulis : SUHAR,"Dosen Pembimbing I : Dr.Drs. Ec. H. Muh. Syarif, M.Si","Dosen Pembimbing II :Nirma Kurriwati, SP., M.Si","Abstrak

Tujuan penelitian ini adalah untuk mengidentifikasi variabel-variabel atribut produk yang mempengaruhi keputusan pembelian produk penyedap rasa Masako baik secara simultan maupun secara parsial serta variabel manakah yang berpengaruh paling besar.
Penelitian ini menggunakan metode kuantitatif dimana populasinya adalah semua ibu-ibu di Kecamatan Robatal Sampang yang pernah membeli dan mengkonsumsi produk penyedap rasa Masako dengan teknik pengambilan sampel menggunakan accidental sampling dan diperoleh sampel sebanyak 50 responden. Hipotesis dalam penelitian ini adalah; (1) variabel atribut produk yang terdiri dari merek, Kemasan, pelabelan dan layanan pelengkap berpengaruh secara simultan terhadap keputusan pembelian produk penyedap rasa Masako. (2) Variabel merek yang berpengaruh paling besar terhadap keputusan pembelian produk penyedap rasa Masako.
Hasil penelitian dengan uji F (simultan) menunjukkan bahwa secara simultan variabel independen yang terdiri dari; merek, kemasan, pelabelan, dan layanan pelengkap mempengaruhi variabel dependen yaitu keputusan pembelian, berarti hipotesis yang pertama bisa diterima (benar). Selanjutnya hasil dari uji t (parsial) membuktikan bahwa secara individu seluruh variabel bebas berpengaruh positif dan signifikan terhadap keputusan pembelian. Dari hasil tersebut dapat diketahui bahwa variabel merek (X1) mempunyai pengaruh paling tinggi sehingga dapat dikatakan hipotesis yang ke dua dapat diterima (benar).
Simpulan dari penelitian ini adalah; yang pertama secara simultan terjadi pengaruh yang signifikan dari seluruh variabel bebas terhadap variabel terikatnya keputusan pembelian. Yang kedua secara parsial, menunjukkan bahwa variabel bebas berpengaruh positif dan signifikan terhadap keputusan pembelian, jadi dari masing-masing variabel bebas secara parsial atau individu mempunyai pengaruh terhadap variabel keputusan pembelian. 

Kata Kunci : Atribut Produk, Keputusan Pembelian.
","Abstract

This research is aimed to identify some variables of product attributes which affect purchasing decisions Masako either simultaneously or partially and which variables that have the greatest effect.
This research applies quantitative methods where the population is all  mothers in Robatal Sampang East Java, who ever buy and consume the products of Masako and the sample collection techniques apply accidental sampling and obtained 50 respondents. The hypothesis of this research are: (1) variable attributes which consist of brand, packaging, labeling product and also complementary services simultaneously affect on purchasing decisions Masako flavoring products. (2) Variables that affect most major brands on purchasing decisions Masako flavoring product.
The results with the F test (simultaneous) showed that simultaneously independent variables consisting of; branding, packaging, labeling product and also complementary services affect the dependent variable is the purchasing decision, meaning that the first hypothesis can be accepted (true). Furthermore, the results of the t test (partial) proved that all independent variables individually positive and significant impact on purchasing decisions. The results of research abouve can be seen that the brand variables (X1) has the highest effect. So, it can be concluded that the second hypothesis can be accepted (true).
The conclusion, there are two evidences that found by researcher: the first is simultaneous, occur significant effect of all independent variables on the dependent variable purchasing decision. The second is partial, indicate that the independent variable positive and significant impact on purchasing decisions. So, each of the independent variables partially or individually have an effect for purchasing decisions.

Keywords: product Attributes, Purchasing Decision
"
,,,,,
PERBANDINGAN PENGARUH STOCK SPLIT DAN DIVIDEN TERHADAP VOLUME PERDAGANGAN SAHAM PADA PERUSAHAAN YANG GO PUBLIC DI BEI (BURSA EFEK INDONESIA),Penulis : DHONY MANGGALA PUTRA,"Dosen Pembimbing I : R. GATOT HERU PRANJOTO, S.E., M.M., ","Dosen Pembimbing II :DRS. EC. MAKHMUD ZULKIFLI, M.SI","Tujuan penelitian ini adalah untuk mengetahui pengaruh stock split terhadap volume perdagangan saham pada perusahaan yang go public; untuk mengetahui pengaruh pembagian dividen pada perusahaan yang go public; untuk mengetahui perbandingan stock split dan pembagian dividen secara tunai yang berpengaruh terhadap volume perdagangan saham.
Penelitian ini menggunakan metode kuantitatif. Teknik analisis data yang digunakan adalah uji asumsi klasik, regresi sederhana, dan uji t berpasangan. Variabel yang digunakan dalam penelitian ini ada 2, yaitu (1) Variabel independen meliputi stock split dan dividen, dan (2) Variabel dependen meliputi volume perdagangan saham setelah stock split dan volume perdagangan saham setelah pembagian dividen. Berdasarkan pengambilan data dengan cara purposive sampling didapat 10 sampel perusahaan go public yang terdaftar di Bursa Efek Indonesia yang telah melakukan kebijakan stock split dan pembagian dividen pada tahun yang sama.
Kesimpulan penelitian ini diketahui bahwa hasil uji asumsi klasik melalui uji normalitas menunjukkan seluruh variabel yang diuji bersifat normal yaitu  semua variabel memiliki nilai signifikansi > 0,05. Hasil uji regresi sederhana menunjukkan: (1) Kebijakan stock split tidak ada pengaruh terhadap volume perdagangan saham perusahaan dengan nilai signifikansi 0,733; (2) Pembagian dividen memiliki nilai signifikansinya 0,987, artinya meskipun berpengaruh tetapi tidak signifikan terhadap volume perdagangan saham perusahaan. Berdasarkan hasil uji beda, kedua kebijakan tersebut tidak ada perbedaan terhadap volume perdagangan saham perusahaan dengan nilai signifikansi 0,382.
Kata kunci: stock split, dividen, volume perdangan saham setelah stock split dan pembagian dividen.","The purposes of this study are to determine the influence of stock split on stock trading volume on go public companies; to determine the influence of dividend go public companies; to determine the ratio of stock split and dividend in cash payment that have influence on stock trading volume. 
This study uses quantitative methods. The data analysis technique used is the classical assumption, simple regression, and paired t test. There are 2 variables used in this study:  (1) the independent variables; include the stock split and dividend, and (2) Dependent variables; include stock trading volume after the stock split and stock trading volume after the distribution of dividends. Based on data collecting through purposive sampling, there are 10 samples of Go Public companies listed in Indonesia Stock Exchange that has conducted stock split policy and dividend distribution in the same year.
The conclusion notes that the result of classical assumption test through normality test shows the normality of all variables, means all variables have significant values > 0, 05. Simple regression test results that: (1) stock split policy does not influence companies’ stock trading volume within significant value of 0,733; (2) dividend has significant value of 0,987 means that it has insignificant influence on companies’ stock trading volume. Based on the different test result, the two policies make no difference on companies’ stock trading volume within the significant value of 0,382.
Keywords: stock split, dividend, stock trading volume after stock split and dividend distribution."
"PENGARUH IKLAN ONLINE MELALUI MEDIA FACEBOOK TERHADAP KEPUTUSAN PEMBELIAN PAKAIAN 
(STUDI PADA MAHASISWA FAKULTAS EKONOMI DAN BISNIS UNIVERSITAS TRUNOJOYO MADURA)",Penulis : Hening Ari Putra,Dosen Pembimbing I : Bambang Setyo Pambudi,Dosen Pembimbing II :Suyono,"Abstrak

Hening Ary Putra, Pengaruh Iklan Online Melalui Media Facebook Terhadap Keputusan Pembelian Pakaian (Studi Pada Mahasiswa Fakultas Ekonomi Dan Bisnis Universitas Trunojoyo Madura). Pemimbing Bambang Setiyo Pambudi, S.E., MM., dan Suyono, S.E, M.S.M.
Tujuan penelitian ini adalah untuk mengidentifikasi variabel seperti sikap pada iklan online, daya ingat pada iklan online, dan frekuensi klik pada iklan online yang mempengaruhi Keputusan Pembelian Pakaian pada mahasiswa Fakultas Ekonomi Dan Bisnis Universitas Trunojoyo Madura baik secara simultan maupun parsial.
Hipotesis penelitian ini adalah: Faktor-faktor yang mempengaruhi Keputusan Pembelian Pakaian seperti sikap pada iklan online, daya ingat pada iklan online, dan frekuensi klik pada iklan online berpengaruh secara signifikan terhadap Keputusan Pembelian Pakaian baik secara simultan maupun parsial.
Penelitian ini dilakukan dengan metode kuantitatif dimana populasi dalam penelitian ini adalah mahasiswa Fakultas Ekonomi dan Bisnis Universitas Trunojoyo Madura dan diperoleh sampel sebanyak 40 responden yang diambil dengan menggunakan metode accidental sampling dengan cara menyebarkan kuesioner.
Kesimpulan dari penelitian ini adalah (1) secara simultan pengaruh yang signifikan antara variabel bebas (sikap pada iklan online, daya ingat pada iklan online, dan frekuensi klik pada iklan online) terhadap keputusan pembelian Pakaian (2) secara parsial, menunjukkan bahwa vairabel sikap pada iklan online dan daya ingat pada iklan online berpengaruh positif dan signifikan terhadap Keputusan Pembelian Pakaian, kecuali pada variabel frekuensi klik pada iklan online tidak berpengaruh positif dan signifikan terhadap keputusan pembelian Pakaian. (3) secara parsial variabel daya ingat mempunyai pengaruh yang paling besar terhadap keputusan pembelian pakaian

Kata Kunci : sikap, daya ingat, frekuensi klik, keputusan pembelian pakaian
","Hening Ary Putra, Effect of Online Advertising Through Facebook Against Media Apparel Purchase Decision Clothing (Studies in the Faculty of Economics and Business, University Student Trunojoyo). Mentors Bambang Setiyo Pambudi, SE, MM., And Suyono, SE, MSM.
The purpose of this study was to identify variables like stance on online advertising, online advertising recall in, and the frequency of clicks on online advertisements that influence purchasing decisions on the clothes Faculty of Economics and Business, Universitas Trunojoyo Madura either simultaneously or partially.
The hypotheses are: Factors that influence purchasing decisions like stance on online advertising, online advertising recall in, and the frequency of clicks on online advertising significantly influence  in clothing purchase decisions either simultaneously or partially.
This research was conducted with quantitative methods where the population in this study were students of the Faculty of Economics and Business, Universitas Trunojoyo Madura and obtained a sample of 40 respondents taken using accidental sampling method by distributing questionnaires.
Conclusions of this study were (1) simultaneously a significant relationship between the independent variables (attitude on online advertising, online advertising recall in, and the frequency of clicks on online ads) on purchase decisions clothing (2) partial, shows that vairabel attitude on online advertising and online advertising recall the positive and significant impact on purchasing decisions, except the variable frequency clicks on online ads are not positive and significant impact on purchasing decisions. (3) partial variable recall has the greatest influence on purchasing decisions clothing.

Keywords: attitudes, recall, clicks frequency, purchasing decisions clothing
"
